issns	existing_issn	Q		
2056-7731,0005-576X	0005-576X	27715541
2234-6643,1598-2408	1598-2408	6295114
1820-7421,0352-5139	0352-5139	15752057
1848-6401,1331-5854	1331-5854	15817067
1574-3006,1473-5504	1473-5504	1935392
2162-0725,0009-4056	0009-4056	15757164
1439-1309,0034-3536	0034-3536	26842021
1861-9568,1009-637X	1861-9568	15750204
1724-6008,0393-6155	0393-6155	26839883
1438-8790,0934-8387	0934-8387	26842346
2262-3353,1142-852X	1142-852X	15750003
1542-7633,1387-5868	1387-5868	15757760
2523-9201,1017-3285	1017-3285	15752901
1573-8841,1569-1713	1569-1713	15753436
2515-9372,1035-719X	1035-719X	15755093
2204-2180,1448-8388	1448-8388	15760509
1534-6315,1529-7322	1529-7322	2246111
1553-779X,2194-5756	1553-779X	15760798
1804-7521,1213-8118	1213-8118	26842819
1471-8847,1471-8731	1471-8731	4914808
2164-6708,1526-9248	1526-9248	15757557
2109-9502,0300-9505	0300-9505	15766075
6547-8452,1570-0763	1570-0763	15760808
2032-0442,0009-8140	0009-8140	2974890
2580-6785,2580-6777	2580-6777	50814239
2375-0901,1077-291X	1077-291X	15749468
2275-5195,0004-5322	0004-5322	15817262
2521-8875,0259-0123	0259-0123	15754236
2406-0895,0370-8179	0370-8179	26842339
1547-7355,2194-6361	1547-7355	15752412
2413-7219,0254-7821	0254-7821	21045655
1724-6040,0391-3988	0391-3988	15758803
2042-8731,1746-5729	1746-5729	15763173
2163-1794,0093-1853	0093-1853	15753017
1559-0119,1534-8644	1534-8644	26841857
2207-8460,1320-2480	1320-2480	15817169
1785-0037,1589-1623	1589-1623	15757846
1678-4383,0104-6632	0104-6632	15760722
1904-8181,0108-1993	0108-1993	12333200
2328-1162,0091-6471	0091-6471	6295815
2386-9658,0213-1854	0213-1854	15746719
2336-5730,0323-0562	0323-0562	27721518
2287-8602,2287-1098	2287-1098	26853869
1942-3241,1321-0122	1321-0122	6051615
2213-056X,1435-5205	1435-5205	15763159
1947-6213,1072-4117	1072-4117	6786760
2547-5746,1296-4077	1296-4077	15763591
2192-7669,0075-6334	0075-6334	1495737
2205-362X,1448-837X	1448-837X	15752960
2158-074X,1529-0824	1529-0824	15745541
2579-7530,2086-0234	2086-0234	50810519
2369-6184,0035-2632	0035-2632	47523541
