title	publisher	1	2
JURNAL PENDIDIKAN EKONOMI Jurnal Ilmiah Ilmu Pendidikan Ilmu Ekonomi dan Ilmu Sosial	UPT Penerbitan Universitas Jember	2548-7175	1907-9990
JURNAL DINAMIKA VOKASIONAL TEKNIK MESIN	Universitas Negeri Yogyakarta	2548-7590	2598-392X
FIKRI Jurnal Kajian Agama Sosial dan Budaya	Institut Agama Islam Ma arif NU (IAIMNU) Metro Lampung	2548-7620	2527-4430
UIR LAW REVIEW	UIR Press	2548-768X	2548-7671
majalah kesehatan	Brawijaya University	2548-7698	1907-8803
Jurnal Adabiyah	Universitas Islam Negeri Alauddin Makassar	2548-7744	1412-6141
Prosiding SNFA (Seminar Nasional Fisika dan Aplikasinya)	Universitas Sebelas Maret	2548-8325	2548-8317
Jurnal Tarbiyah Jurnal Ilmiah Kependidikan	IAIN Antasari	2548-8376	2088-6691
International Journal of Indonesian Education and Teaching	Sanata Dharma University	2548-8430	2548-8422
Jurnal Ilmiah Sport Coaching and Education	Universitas Negeri Jakarta	2548-8511	
Jurnal Didaktik Matematika	LPPM Unsyiah	2548-8546	2355-4185
Journal of ICSAR	State University of Malang (UM)	2548-8600	2548-8619
JURNAL BAGIMU NEGERI	STKIP Muhammadiyah Pringsewu Lampung	2548-866X	2548-8651
Ilmu Dakwah Academic Journal for Homiletic Studies	Sunan Gunung Djati State Islamic University of Bandung	2548-8708	
Komposisi Jurnal Pendidikan Bahasa Sastra dan Seni	Universitas Negeri Padang (UNP)	2548-9097	1411-3732
Jurnal Agro Industri Perkebunan	Politeknik Negeri Lampung	2548-9259	2337-9944
Sains Peternakan	Universitas Sebelas Maret	2548-9321	1693-8828
Jurnal Rekayasa Sipil dan Lingkungan	UPT Penerbitan Universitas Jember	2548-9518	
JURNAL INTEGRASI	Politeknik Negeri Batam	2548-9828	2085-3858
JURNAL AKUNTANSI EKONOMI dan MANAJEMEN BISNIS	Politeknik Negeri Batam	2548-9836	2337-7887
Hayula Indonesian Journal of Multidisciplinary Islamic Studies	Universitas Negeri Jakarta	2548-9860	2549-0761
AL-ASASIYYA Journal Of Basic Education	Universitas Muhammadiyah Ponorogo	2548-9992	
Syariah Jurnal Hukum dan Pemikiran	IAIN Antasari	2549-001X	1412-6303
Jurnal Bidang Pendidikan Dasar	University of Kanjuruhan Malang	2549-0125	2549-0117
Journal of Maternal and Child Health	Masters Program in Public Health, Sebelas Maret University	2549-0257	
Journal of Epidemiology and Public Health	Masters Program in Public Health, Sebelas Maret University	2549-0273	
Journal of Health Policy and Management	Masters Program in Public Health, Sebelas Maret University	2549-0281	
Bioedukasi Jurnal Pendidikan Biologi	Universitas Sebelas Maret	2549-0605	1693-265X
Jurnal Penyakit Dalam Indonesia	Universitas Indonesia, Directorate of Research and Public Service	2549-0621	2406-8969
Udayana Journal of Law and Culture	Universitas Udayana	2549-0680	
Jurnal Wawasan Yuridika	Sekolah Tinggi Hukum Bandung	2549-0753	2549-0664
SAINTEK PERIKANAN Indonesian Journal of Fisheries Science and Technology	Institute of Research and Community Services Diponegoro University (LPPM UNDIP)	2549-0885	1858-4748
Yustisia Jurnal Hukum	Universitas Sebelas Maret	2549-0907	0852-0941
Ahkam Jurnal Hukum Islam	IAIN Tulungagung	2549-1075	2303-1905
Jurnal Sains & Teknologi Modifikasi Cuaca	Badan Pengkajian dan Penerapan Teknologi (BPPT)	2549-1121	1411-4887
Journal of Health Promotion and Behavior	Masters Program in Public Health, Sebelas Maret University	2549-1172	
Sustinere Journal of Environment and Sustainability	IAIN Surakarta	2549-1253	2549-1245
Buletin Plasma Nutfah	Indonesian Agency For Agricultural Research and Development (IAARD)	2549-1393	1410-4377
Jurnal Rekayasa Proses	Universitas Gadjah Mada	2549-1490	1978-287X
Jurnal AgroBiogen	Indonesian Agency For Agricultural Research and Development (IAARD)	2549-1547	1907-1094
Sabda Jurnal Kajian Kebudayaan	Institute of Research and Community Services Diponegoro University (LPPM UNDIP)	2549-1628	1410-7910
Konfigurasi Jurnal Pendidikan Kimia dan Terapan	Universitas Islam Negeri Sultan Syarif Kasim Riau	2549-1679	
Haluan Sastra Budaya	Universitas Sebelas Maret	2549-1733	0852-0933
Jurnal Politik Profetik	Universitas Islam Negeri Alauddin Makassar	2549-1784	2337-4756
Mediapsi	Brawijaya University	2549-2004	2477-6459
Adabiyyāt Jurnal Bahasa dan Sastra	Al-Jami'ah Research Centre	2549-2047	2549-1482
Bali Journal of Anesthesiology	DiscoverSys, Inc.	2549-2276	
LET Linguistics Literature and English Teaching Journal	IAIN Antasari	2549-2454	2086-9606
Jurnal PTK dan Pendidikan	IAIN Antasari	2549-2535	2460-1780
LITERASI Jurnal Ilmiah Pendidikan Bahasa Sastra Indonesia dan Daerah	Universitas Pasundan	2549-2594	2086-4795
لســـانـنــا (LISANUNA) Jurnal Ilmu Bahasa Arab dan Pembelajarannya	Universitas Islam Negeri Ar-Raniry	2549-2802	2354-5577
Jurnal Teknik Sipil	Universitas Atma Jaya Yogyakarta	2549-2918	1411-660X
Agriprima Journal of Applied Agricultural Sciences	Agriprima, Journal of Applied Agricultural Sciences	2549-2942	2549-2934
Jurnal Desain Interior	Lembaga Penelitian dan Pengabdian kepada Masyarakat ITS	2549-2985	2527-2853
Jurnal Pendidikan Kimia	State University of Medan	2549-3116	2085-3653
Hasanuddin Economics and Business Review	Fakultas Ekonomi dan Bisnis Unhas	2549-323X	2549-3221
Al-Bidayah Jurnal Pendidikan Dasar Islam	Al-Jami'ah Research Centre	2549-3388	2085-0034
EDUSIANA Jurnal Manajemen dan Pendidikan Islam	Center of Language and Culture Studies	2549-3612	2355-2743
Akta Kimia Indonesia	Lembaga Penelitian dan Pengabdian kepada Masyarakat ITS	2549-3736	1858-4586
Jurnal Ilmiah Ilmu Ushuluddin	IAIN Antasari	2549-3752	1412-5188
Jurnal Teknologi Perikanan dan Kelautan	Jurnal Teknologi Perikanan dan Ilmu Kelautan	2549-3841	2087-4871
PUSTABIBLIA Journal of Library and Information Science	State Institute of Islamic Studies Salatiga	2549-3868	2549-3493
SASDAYA Gadjah Mada Journal of Humanities	Universitas Gadjah Mada	2549-3884	2548-3218
Industria Jurnal Teknologi dan Manajemen Agroindustri	Brawijaya University	2549-3892	2252-7877
Journal of Regional and Rural Development Planning	Institut Pertanian Bogor	2549-3930	2549-3922
Jurnal Inspirasi Pendidikan	University of Kanjuruhan Malang	2549-4147	2088-9704
Jurnal Ilmiah Bahasa dan Sastra	University of Kanjuruhan Malang	2549-4155	2355-8083
International Journal of Language and Literature	Universitas Pendidikan Ganesha	2549-4287	
Humanitas (Jurnal Psikologi)	Maranatha Christian University	2549-4325	2407-2532
Jurnal Ilmiah Hukum LEGALITY	Universitas Muhammadiyah Malang	2549-4600	0854-6509
International Journal of Science and Applied Science Conference Series	Universitas Sebelas Maret	2549-4635	2549-4627
ELT Echo The Journal of English Language Teaching in Foreign Language Context	IAIN Syekh Nurjati Cirebon	2549-5089	2579-8170
Jurnal Analisa	Sunan Gunung Djati State Islamic University of Bandung	2549-5143	2549-5135
International Journal of Remote Sensing and Earth Sciences (IJReSES)	Indonesian National Institute of Aeronautics and Space (LAPAN)	2549-516X	0216-6739
Matra Pembaruan	Research and Development Agency, Ministry of Home Affairs	2549-5283	2549-5151
IJEEM - Indonesian Journal of Environmental Education and Management	Universitas Negeri Jakarta	2549-5798	
Jurnal Pendidikan Dasar	Universitas Negeri Jakarta	2549-5801	2086-7433
Wiga Jurnal Penelitian Ilmu Ekonomi	STIE Widya Gama Lumajang	2549-5992	2088-0944
International Journal of Elementary Education	Universitas Pendidikan Ganesha	2549-6050	2579-7158
Journal of Education Research in Administration and Management (JERAM)	JERAM : Journal of Education Research in Administration and Management	2549-6115	
Didaktika Religia	STAIN Kediri	2549-631X	2337-7305
International Journal of Social Science and Business	Universitas Pendidikan Ganesha	2549-6409	
International Journal of Community Service Learning	Universitas Pendidikan Ganesha	2549-6417	2579-7166
Semantik	STKIP Siliwangi Bandung	2549-6506	2252-4657
Jurnal Kedokteran Gigi Universitas Padjadjaran	Universitas Padjadjaran	2549-6514	0854-6002
Al-Idarah Jurnal Manajemen dan Administrasi Islam	Universitas Islam Negeri Ar-Raniry	2549-6522	2549-4961
International Journal Pedagogy of Social Studies	Universitas Pendidikan Indonesia	2549-6530	2550-0600
Jurnal Dakwah Tabligh	Universitas Islam Negeri Alauddin Makassar	2549-662X	1412-7172
Pedagogi Jurnal Ilmu Pendidikan	Universitas Negeri Padang (UNP)	2549-6743	1411-4585
INTENSIF	Universitas Nusantara PGRI Kediri	2549-6824	2580-409X
Jurnal Kedokteran dan Kesehatan	Fakultas Teknik Universitas Muhammadiyah Jakarta	2549-6883	0216-3942
Udayana Journal of Social Sciences and Humanities (UJoSSH)	Universitas Udayana	2549-6956	
Advances in Tropical Biodiversity and Environmental Sciences	Universitas Udayana	2549-6980	
Gaster | Jurnal Ilmu Kesehatan	STIKES Aisyiyah Surakarta	2549-7006	1858-3385
Jurnal Ilmu dan Inovasi Fisika	Universitas Padjadjaran	2549-7014	2549-0516
J-SAKTI (Jurnal Sains Komputer dan Informatika)	STIKOM Tunas Bangsa Pematangsiantar	2549-7200	2548-9771
Agregat Jurnal Ekonomi dan Bisnis	University of Muhammadiyah Prof. Hamka (UHAMKA)	2549-7243	2549-5658
Jurnal Penginderaan Jauh dan Pengolahan Data Citra Digital	Indonesian National Institute of Aeronautics and Space (LAPAN)	2549-726X	1412-8098
Analisis Kebijakan Pertanian	Indonesian Agency For Agricultural Research and Development (IAARD)	2549-7278	1693-2021
Journal of Physics Theories and Applications	Universitas Sebelas Maret	2549-7324	2549-7316
EKSAKTA Berkala Ilmiah Bidang MIPA	Universitas Negeri Padang (UNP)	2549-7464	1411-3724
Jurnal Ilmiah Ilmu Administrasi Publik	Universitas Negeri Makassar	2549-7499	2086-6364
Jurnal Geografi Gea	Universitas Pendidikan Indonesia	2549-7529	1412-0313
Journal of Health Sciences and Medicine	Universitas Udayana	2549-7561	
Journal of Governance and Public Policy	JK School of Gov, Universitas Muhammadiyah Yogyakarta	2549-7669	2355-8695
Journal of Culture Arts Literature and Linguistics (CaLLs)	Universitas Mulawarman	2549-7707	2460-674X
Proceeding of International Conference on Climate Change	Faculty of Agriculture, Sebelas Maret University (Journal System)	2549-774X	
Jurasik (Jurnal Riset Sistem Informasi dan Teknik Informatika)	STIKOM Tunas Bangsa Pematangsiantar	2549-7839	2527-5771
JURNAL BIOLOGI TROPIS	Universitas Mataram	2549-7863	1411-9587
JURNAL TEKNIK INFORMATIKA	LP2M Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta	2549-7901	1979-9160
JICSA (Journal of Islamic Civilization in Southeast Asia)	Universitas Islam Negeri Alauddin Makassar	2549-7995	2302-1799
Petita Jurnal Kajian Ilmu Hukum dan Syariah	Universitas Islam Negeri Ar-Raniry	2549-8274	2502-8006
Journal of Electrical Electronics and Informatics	Universitas Udayana	2549-8304	
Pancaran Pendidikan	FKIP The University of Jember	2549-838X	0852-601X
Biotropika Journal of Tropical Biology	Brawijaya University	2549-8703	2302-7282
Journal of Moral and Civic Education	Universitas Negeri Padang (UNP)	2549-8851	2580-412X
Jurnal Penelitian Pembelajaran Fisika	Universitas PGRI Semarang	2549-886X	2086-2407
AMERTA	Badan Penelitian dan Pengembangan Kemdikbud	2549-8908	0215-1324
Jurnal Matematika Integratif	Universitas Padjadjaran	2549-9033	1412-6184
JIPFRI (Jurnal Inovasi Pendidikan Fisika dan Riset Ilmiah)	STKIP Nurul Huda	2549-9076	2549-905X
PEMBELAJAR Jurnal Ilmu Pendidikan Keguruan dan Pembelajaran	Universitas Negeri Makassar	2549-9114	2549-9203
Studia Quranika	Universitas Darussalam Gontor	2549-9262	2527-7251
Jurnal Kimia dan Kemasan	Center For Chemical & Packaging (Balai Besar Kimia & Kemasan)	2549-9424	2088-026X
Economac Jurnal Ilmiah Ilmu Ekonomi	Universitas Negeri Padang (UNP)	2549-9807	1412-3290
INVOTEK Jurnal Inovasi Vokasional dan Teknologi	Universitas Negeri Padang (UNP)	2549-9815	1411-3414
JURNAL PENDIDIKAN DAN KELUARGA	Universitas Negeri Padang (UNP)	2549-9823	2085-4285
Journal of Nursing and Health	Journal of Nursing and Health	2549-9866	2549-9629
DE RECHTSSTAAT	Universitas Djuanda	2549-9874	2442-5303
JOIV International Journal on Informatics Visualization	Politeknik Negeri Padang	2549-9904	2549-9610
AdBispreneur	Universitas Padjadjaran	2549-9912	2503-2755
MAGHZA	IAIN Purwokerto	2549-9971	2528-6773
Adimas Jurnal Pengabdian Kepada Masyarakat	Universitas Muhammadiyah Ponorogo	2550-004X	2550-0031
Journal of Islamic Medicine	Maulana Malik Ibrahim State Islamic University	2550-0074	
Jurnal Kedokteran Syiah Kuala	LPPM Unsyiah	2550-0112	1412-1026
JURNAL AGROINDUSTRI HALAL	Universitas Djuanda	2550-0163	2442-3548
JURNAL PERTANIAN	Universitas Djuanda	2550-0244	2087-4936
DIDAKTIKA TAUHIDI JURNAL PENDIDIKAN GURU SEKOLAH DASAR	Universitas Djuanda	2550-0252	2442-4544
Jurnal Iqtisaduna	Universitas Islam Negeri Alauddin Makassar	2550-0295	2460-805X
KALPATARU	Badan Penelitian dan Pengembangan Kemdikbud	2550-0449	0126-3099
Acta Chimica Asiana	Universitas Mataram	2550-049X	2550-0503
IJITEE (International Journal of Information Technology and Electrical Engineering)	Universitas Gadjah Mada	2550-0554	
Indonesian Journal of Physics and Nuclear Applications	Universitas Kristen Satya Wacana	2550-0570	2549-046X
elektum	Fakultas Teknik Universitas Muhammadiyah Jakarta	2550-0678	1979-5564
JURNAL VISIONIDA	Universitas Djuanda	2550-0694	2442-417X
JURNAL AKUNIDA	Universitas Djuanda	2550-0708	2442-3033
Jurnal Peternakan Nusantara	Universitas Djuanda	2550-0740	2442-2541
Jurnal Mina Sains	Universitas Djuanda	2550-0759	2407-9030
Jurnal MSA ( Matematika dan Statistika serta Aplikasinya )	Universitas Islam Negeri Alauddin Makassar	2550-0767	2355-083X
Jurnal Manajemen dan Kearifan Lokal Indonesia	Asosiasi Peneliti Manajemen Adat Indonesia	2550-0856	2579-5791
JURNAL SUMBERDAYA AKUATIK INDOPASIFIK	Universitas Papua	2550-0929	2550-1232
QARDHUL HASAN MEDIA PENGABDIAN KEPADA MASYARAKAT	Universitas Djuanda	2550-1143	2442-3726
JURNAL AGRIBISAINS	Universitas Djuanda	2550-1151	2442-5982
JURNAL ILMIAH LIVING LAW	Universitas Djuanda	2550-1208	
EkBis Jurnal Ekonomi dan Bisnis	Al-Jami'ah Research Centre	2550-1267	2549-4988
Arab World English Journal For Translation and Literary Studies	AWEJ Group	2550-1542	
Jurnal Hadhari An International Journal	Penerbit Universiti Kebangsaan Malaysia (UKM Press)	2550-2271	1985-6830
OUSL Journal	Sri Lanka Journals Online	2550-2816	1800-3621
Sri Lankan Journal of Agricultural Economics	Sri Lanka Journals Online	2550-2883	1391-7358
Journal of the Rubber Research Institute of Sri Lanka	Sri Lanka Journals Online	2550-2972	
Sri Lankan Journal of Biology	Sri Lanka Journals Online	2550-3340	2513-2245
International Journal of Physical Sciences and Engineering (IJPSE)	International Journal of College and University	2550-6943	2550-6951
International Journal of Health Sciences (IJHS)	International Journal of College and University	2550-696X	2550-6978
International Journal of Life Sciences (IJLS)	International Journal of College and University	2550-6986	2550-6994
International Journal of Social Sciences and Humanities (IJSSH)	International Journal of College and University	2550-7001	2550-701X
Medpusle International Journal of Medicine	Statperson Publishing Coporation	2550-7583	
Medpusle International Journal of Surgery	Statperson Publishing Coporation	2550-7591	
Medpusle International Journal of Pathology	Statperson Publishing Coporation	2550-7605	
Medpusle International Journal of Anatomy	Statperson Publishing Coporation	2550-7621	
Peer Community in Evolutionary Biology	Peer Community In	2551-668X	
Migrations Société	CAIRN	2551-9808	0995-7367
Forum	CAIRN	2551-9921	0988-6486
e-Phaïstos	OpenEdition	2552-0741	2262-7340
Anthropologie & développement	OpenEdition	2553-1719	2276-2019
Skenegraphie	OpenEdition	2553-1875	2272-0642
Économie et Institutions	OpenEdition	2553-1891	1775-2329
Revue internationale des études du développement	CAIRN	2554-3415	
Clio	OpenEdition	2554-3822	
Audiology Direct	EDP Sciences	2556-2746	
Emergent Scientist	EDP Sciences	2556-8779	
4open	EDP Sciences	2557-0250	
Histoire médecine et santé	OpenEdition	2557-2113	2263-8911
La Pensée écologique	CAIRN	2558-1465	
Cahiers Claude Simon	OpenEdition	2558-782X	1774-9425
Alter	OpenEdition	2558-7927	1249-8947
Artes Journal of Musicology	De Gruyter Open Sp. z o.o.	2558-8532	
Journal of Media Research	Babes-Bolyai University	2559-1983	1844-8887
Ekphrasis Images Cinema Theory Media	Babes-Bolyai University	2559-2068	
Revista Română de Biblioteconomie și Știința Informării = Romanian Journal of Library and Information Science	Asociatia Bibliotecarilor din Romania /ABR, Romanian Library Association	2559-5490	1841-1940
Endogenous locus-driven H-Ras G12V expression induces senescence-like phenotype in primary fibroblasts of the Costello syndrome mouse model	Romanian Society of Biochemistry and Molecular Biology	2559-611X	
