issns	missing _issn	Q				
1534-6315,1529-7322	1534-6315	2246111
1553-779X,2194-5756	2194-5756	15760798
1804-7521,1213-8118	1804-7521	26842819
1471-8847,1471-8731	1471-8847	4914808
2164-6708,1526-9248	2164-6708	15757557
2109-9502,0300-9505	2109-9502	15766075
6547-8452,1570-0763	6547-8452	15760808
2032-0442,0009-8140	2032-0442	2974890
2580-6785,2580-6777	2580-6785	50814239
2375-0901,1077-291X	2375-0901	15749468
2275-5195,0004-5322	2275-5195	15817262
2521-8875,0259-0123	2521-8875	15754236
2406-0895,0370-8179	2406-0895	26842339
1547-7355,2194-6361	2194-6361	15752412
2413-7219,0254-7821	2413-7219	21045655
1724-6040,0391-3988	1724-6040	15758803
2042-8731,1746-5729	2042-8731	15763173
2163-1794,0093-1853	2163-1794	15753017
1559-0119,1534-8644	1559-0119	26841857
2207-8460,1320-2480	2207-8460	15817169
1785-0037,1589-1623	1785-0037	15757846
1678-4383,0104-6632	1678-4383	15760722
1904-8181,0108-1993	1904-8181	12333200
2328-1162,0091-6471	2328-1162	6295815
2386-9658,0213-1854	2386-9658	15746719
2336-5730,0323-0562	2336-5730	27721518
2287-8602,2287-1098	2287-8602	26853869
1942-3241,1321-0122	1942-3241	6051615
2213-056X,1435-5205	2213-056X	15763159
1947-6213,1072-4117	1947-6213	6786760
2547-5746,1296-4077	2547-5746	15763591
2192-7669,0075-6334	2192-7669	1495737
2205-362X,1448-837X	2205-362X	15752960
2158-074X,1529-0824	2158-074X	15745541
2579-7530,2086-0234	2579-7530	50810519
2369-6184,0035-2632	2369-6184	47523541
